ID,Durat   ,protocol,service,SrcIP,sourcemac,SrcPort,DstIP,destinationmac,DstPort,tos,Bytes  ,Packets ,count,dsthstsrvcount,Labels
1,0.591,UDP,,82.18.250.37,00:00:00:00:00:01,51841,147.32.84.229,,13363,,804,4,,,Background
2,3.195,TCP,,81.83.115.150,00:00:00:00:00:01,2751,147.32.84.229,,13363,,220,4,,,Background
3,0.191,TCP,,199.47.217.149,00:00:00:00:00:01,80,147.32.86.151,,1029,,532,3,,,Background
4,1.479,TCP,,85.70.43.8,00:00:00:00:00:01,1026,147.32.84.229,,13363,,220,4,,,Background
5,6.042,UDP,,82.99.161.58,00:00:00:00:00:01,29078,147.32.84.185,,30123,,483,3,,,Background
6,45.109,TCP,,147.32.84.59,00:00:00:00:00:01,50602,195.113.232.90,,80,,264,4,,,Background
7,45.119,TCP,,147.32.84.59,00:00:00:00:00:01,50605,195.113.232.90,,80,,264,4,,,Background
8,45.013,TCP,,147.32.84.189,00:00:00:00:00:01,43484,195.113.232.80,,80,,264,4,,,Background
9,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,50729,74.125.232.202,,443,,264,4,,,LEGITIMATE
10,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,50730,74.125.232.202,,443,,264,4,,,LEGITIMATE
11,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55609,74.125.232.223,,443,,264,4,,,LEGITIMATE
12,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,55610,74.125.232.223,,443,,264,4,,,LEGITIMATE
13,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55612,74.125.232.223,,443,,264,4,,,LEGITIMATE
14,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55613,74.125.232.223,,443,,264,4,,,LEGITIMATE
15,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,55614,74.125.232.223,,443,,264,4,,,LEGITIMATE
16,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,55225,209.85.148.147,,443,,264,4,,,LEGITIMATE
17,45.128,TCP,,147.32.84.189,00:00:00:00:00:01,55226,209.85.148.147,,443,,264,4,,,LEGITIMATE
18,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,55227,209.85.148.147,,443,,264,4,,,LEGITIMATE
19,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,55228,209.85.148.147,,443,,264,4,,,LEGITIMATE
20,45.128,TCP,,147.32.84.189,00:00:00:00:00:01,55230,209.85.148.147,,443,,264,4,,,LEGITIMATE
21,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,50362,209.85.149.95,,443,,264,4,,,LEGITIMATE
22,45.047,TCP,,147.32.84.189,00:00:00:00:00:01,50363,209.85.149.95,,443,,264,4,,,LEGITIMATE
23,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,50364,209.85.149.95,,443,,264,4,,,LEGITIMATE
24,45.046,TCP,,147.32.84.189,00:00:00:00:00:01,50365,209.85.149.95,,443,,264,4,,,LEGITIMATE
25,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,45794,74.125.232.204,,443,,264,4,,,LEGITIMATE
26,45.028,TCP,,147.32.84.189,00:00:00:00:00:01,45795,74.125.232.204,,443,,264,4,,,LEGITIMATE
27,45.02,TCP,,147.32.84.189,00:00:00:00:00:01,45796,74.125.232.204,,443,,264,4,,,LEGITIMATE
28,45.127,TCP,,147.32.84.189,00:00:00:00:00:01,45797,74.125.232.204,,443,,264,4,,,LEGITIMATE
