id,Durat   ,Prot    ,Src Port,Dst Port, Tos  ,Packets ,Bytes  , Flows  ,Label
1,0.073,TCP,37473,80,0,14,3805,1,Background
2,0,UDP,55684,13363,0,2,250,1,Background
3,0.001,UDP,14217,13363,0,2,238,1,Background
4,0,UDP,45367,53,0,2,266,1,Background
5,0,UDP,53196,53,0,2,406,1,Background
6,0.073,TCP,56918,80,0,14,2924,1,Background
7,0,UDP,55816,53,0,2,406,1,Background
8,0,UDP,37963,53,0,2,406,1,Background
9,0.076,TCP,37475,80,0,14,3547,1,Background
10,0.117,TCP,47917,80,0,16,5260,1,Background
11,0,UDP,41340,53,0,2,271,1,Background
12,0,UDP,39998,53,0,2,503,1,Background
13,0.031,TCP,35139,80,0,14,4960,1,Background
14,0,UDP,33118,53,0,2,214,1,Background
15,0,UDP,58437,53,0,2,214,1,Background
16,8.899,TCP,37478,80,0,23,8470,1,Background
17,0,UDP,48543,53,0,2,214,1,Background
18,0,UDP,37578,53,0,2,214,1,Background
19,0,UDP,42251,53,0,2,324,1,Background
20,0,UDP,39091,53,0,2,214,1,Background
21,0,UDP,58509,53,0,2,266,1,Background
22,0,UDP,37812,53,0,2,222,1,Background
23,0,UDP,43168,53,0,2,406,1,Background
24,0,UDP,45842,53,0,2,214,1,Background
25,0.08,TCP,56923,80,0,14,4160,1,Background
26,0,UDP,36203,53,0,2,271,1,Background
27,0,UDP,51723,53,0,2,214,1,Background
28,0,UDP,49648,53,0,2,214,1,Background
29,0.075,TCP,47921,80,0,14,3484,1,Background
30,0.052,TCP,57663,80,0,19,9284,1,Background
31,0,UDP,58492,53,0,2,214,1,Background
32,0,UDP,48604,53,0,2,214,1,Background
33,0,UDP,51542,53,0,2,214,1,Background
34,0,UDP,34380,53,0,2,214,1,Background
35,0,UDP,40464,53,0,2,214,1,Background
36,0.001,UDP,57436,13363,0,2,241,1,Background
37,0.144,UDP,13363,63536,0,4,2960,1,Background
38,8.88,TCP,37482,80,0,17,6090,1,Background
39,0.43,UDP,42014,13363,0,2,274,1,Background
40,0.084,TCP,56927,80,0,15,3840,1,Background
41,0,UDP,43684,53,0,2,266,1,Background
42,0,UDP,50095,53,0,2,406,1,Background
43,0.117,TCP,47925,80,0,16,5252,1,Background
44,1.374,UDP,19441,19083,0,4,351,1,Background
45,0,UDP,49851,19083,0,2,544,1,Background
46,0,UDP,54255,53,0,2,266,1,Background
47,0,UDP,35415,53,0,2,406,1,Background
48,9.072,TCP,37485,80,0,13,2858,1,Background
49,0,UDP,38448,13363,0,2,243,1,Background
50,0.008,TCP,5845,80,0,3,162,1,LEGITIMATE
51,8.856,TCP,2977,6881,0,3,186,1,Background
52,2.619,UDP,19083,18771,0,6,907,1,Background
53,0,UDP,55098,19083,0,2,135,1,Background
54,0.001,UDP,55203,13363,0,2,241,1,Background
55,6.108,ICMP,7,7,0,2,140,1,Background
56,0.005,UDP,23890,19083,0,4,2985,1,Background
57,0.116,UDP,13363,25517,0,2,134,1,Background
58,5.241,TCP,49184,80,0,10,1913,1,Background
59,24.226,UDP,13363,63011,0,5,870,1,Background
60,23.293,UDP,13363,6491,0,6,667,1,Background
61,22.344,UDP,13363,34007,0,4,471,1,Background
62,0,UDP,54733,13363,0,2,133,1,Background
63,0.183,UDP,49418,13363,0,2,258,1,Background
64,59.956,TCP,80,50025,0,59,4232,1,Background
65,0,UDP,9102,13363,0,2,223,1,Background
66,0,ICMP,7,7,0,1,78,1,LEGITIMATE
67,0,ICMP,7,7,0,1,78,1,LEGITIMATE
68,35.625,UDP,13363,41554,0,6,1063,1,Background
69,0.186,TCP,4585,12350,0,3,172,1,Background
70,0,UDP,19181,16001,0,1,145,1,Background
71,0,UDP,12150,43087,0,1,145,1,Background
72,0,ICMP,7,7,0,1,173,1,Background
73,0,ICMP,7,7,0,1,78,1,LEGITIMATE
74,0,UDP,19181,7068,0,1,145,1,Background
75,0,UDP,54914,13363,0,2,240,1,Background
76,0.422,TCP,13363,1042,0,4,220,1,Background
77,6.045,UDP,13363,19091,0,3,546,1,Background
78,0.001,UDP,33875,19083,0,2,556,1,Background
79,0,UDP,44400,53,0,2,204,1,Background
80,0,UDP,12765,13363,0,2,136,1,Background
81,0,UDP,38147,53,0,2,214,1,Background
82,0,UDP,40576,53,0,2,214,1,Background
83,19.657,TCP,1083,3389,0,98,14674,1,Background
84,0,UDP,57111,53,0,2,214,1,Background
85,0,UDP,57494,53,0,2,214,1,Background
86,6.006,ICMP,7,7,0,3,570,1,Background
87,0,UDP,54407,53,0,2,214,1,Background
88,0,UDP,50668,53,0,2,214,1,Background
89,0,UDP,37474,53,0,2,214,1,Background
90,0,UDP,37337,53,0,2,214,1,Background
91,0,UDP,60521,53,0,2,214,1,Background
92,0,UDP,53554,53,0,2,214,1,Background
93,0,UDP,39900,13363,0,2,233,1,Background
94,0,UDP,50486,443,0,2,128,1,Background
95,19.002,TCP,52036,443,0,26,2140,1,Background
96,0.364,UDP,19181,18373,0,2,464,1,Background
97,0.053,UDP,13363,11514,0,4,3038,1,Background
98,2.461,UDP,13363,37614,0,4,487,1,Background
99,0.19,UDP,13363,60239,0,2,132,1,Background
100,43.491,UDP,17088,13363,0,4,529,1,Background
101,0.001,UDP,50898,123,0,2,180,1,Background
102,0,UDP,33290,19083,0,2,123,1,Background
103,0,UDP,11174,19083,0,2,185,1,Background
104,0.475,UDP,3523,161,0,24,3144,1,Background
105,0,UDP,64324,443,0,2,128,1,Background
106,0,UDP,2620,19083,0,2,142,1,Background
107,0.151,UDP,19083,26688,0,4,3012,1,Background
108,25.978,TCP,3145,3128,0,14,5624,1,LEGITIMATE
109,7.585,UDP,13363,14967,0,4,300,1,Background
110,0.064,UDP,13363,31370,0,2,133,1,Background
111,0,UDP,40320,13363,0,2,237,1,Background
112,0.118,UDP,13363,34024,0,2,136,1,Background
113,0.001,UDP,62227,13363,0,2,707,1,Background
114,0,UDP,6758,19083,0,2,138,1,Background
115,10.59,UDP,62662,23185,0,4,300,1,Background
116,10.59,ICMP,7,7,0,4,280,1,Background
117,0,UDP,38784,53,0,2,214,1,Background
118,0.152,UDP,13363,45488,0,2,250,1,Background
119,59.887,TCP,1026,13363,0,3,480,1,Background
120,0,UDP,631,631,0,1,219,1,Background
121,57.12,TCP,56387,5190,0,7,672,1,Background
122,0,UDP,55922,53,0,2,632,1,Background
123,0,UDP,64186,53,0,2,228,1,Background
124,0.218,TCP,54022,80,0,8,1550,1,Background
125,0,UDP,63002,53,0,2,292,1,Background
126,0,UDP,57116,53,0,2,204,1,Background
127,0,UDP,18923,13363,0,2,133,1,Background
128,21.752,TCP,41556,13363,0,15,1365,1,Background
129,0.003,UDP,53136,123,0,2,180,1,Background
130,0,UDP,11996,13363,0,2,371,1,Background
131,0,UDP,42331,13363,0,2,268,1,Background
132,37.581,TCP,64336,60214,0,12,687,1,Background
133,6.012,UDP,13363,4831,0,3,375,1,Background
134,0.001,UDP,28129,19083,0,3,470,1,Background
135,1.793,TCP,35688,13363,0,4,220,1,Background
136,0.343,TCP,13363,1061,0,5,426,1,Background
137,30,TCP,61168,5190,0,3,168,1,Background
138,0,UDP,2871,13363,0,2,245,1,Background
139,6.016,UDP,52996,24683,0,3,456,1,Background
140,0.361,UDP,52996,8991,0,2,135,1,Background
141,0.153,UDP,19083,18225,0,4,3041,1,Background
142,0.002,UDP,3464,19083,0,2,533,1,Background
143,0,UDP,1758,13363,0,2,134,1,Background
144,0,UDP,45921,443,0,2,128,1,Background
145,0,UDP,47020,19083,0,2,134,1,Background
146,0.333,TCP,55950,80,0,9,1509,1,Background
147,0,UDP,44876,43087,0,1,109,1,Background
148,0,ICMP,7,7,0,1,137,1,Background
149,0,TCP,22089,43087,0,2,120,1,Background
150,59.97,TCP,29392,13363,0,5,674,1,Background
151,59.983,TCP,1026,13363,0,5,1595,1,Background
152,0.002,UDP,18985,13363,0,2,524,1,Background
153,28.615,TCP,13363,28204,0,5,777,1,Background
154,22.487,TCP,63941,13363,0,16,1172,1,Background
155,0,UDP,41583,13363,0,2,241,1,Background
156,0.153,UDP,55951,13363,0,6,3169,1,Background
157,0.002,UDP,12409,13363,0,2,134,1,Background
